index,event,date,team,opponent,team-rank,opponent-ranking,result,team_map_wr,team_average_age
3469,ESL Challenger Valencia 2022 Europe Closed Qualifier,2022-05-26,mouz,sprout,6,-1,L,57.5,20.5
3470,Pinnacle Cup IV,2022-05-26,movistar riders,isurus,-1,-1,W,57.833333333333336,25.7
3471,Pinnacle Cup IV,2022-05-26,bad news eagles,ecstatic,-1,18,L,57.833333333333336,25.7
3472,Pinnacle Cup IV,2022-05-26,eternal fire,skade,8,-1,W,59.0,26.5
3473,ESL Challenger League Season 41 North America,2022-05-26,pain,ex-uyu,14,-1,W,69.66666666666667,22.0
3474, ESL Challenger League Season 41 Europe,2022-05-25,saw,ago,17,-1,W,70.0,26.1
3475,Pinnacle Cup IV,2022-05-25,spirit,finest,3,-1,L,74.16666666666667,21.3
3476,ESL Challenger Valencia 2022 Europe Closed Qualifier,2022-05-25,forze,mouz,-1,6,L,1,0
3477,Pinnacle Cup IV,2022-05-25,apeks,ecstatic,20,18,L,39.166666666666664,25.7
3478,ESL Challenger Valencia 2022 Europe Closed Qualifier,2022-05-25,1win,mouz,-1,6,L,39.166666666666664,25.7
3479,Pinnacle Cup IV,2022-05-25,gamerlegion,skade,21,-1,L,33.57142857142857,22.9
3480,ESL Challenger League Season 41 North America,2022-05-25,pain,teamone,14,-1,W,69.66666666666667,22.0
3481,ESL Pro League Season 16 Conference Play-In,2022-05-24,eternal fire,saw,8,17,W,59.0,26.5
3482,REPUBLEAGUE Season 3 Closed Qualifier,2022-05-24,ecstatic,enterprise,18,-1,W,63.833333333333336,23.4
3483,Elisa Invitational Spring 2022,2022-05-24,apeks,into the breach,20,-1,W,39.166666666666664,25.7
3484,ESL Pro League Season 16 Conference Play-In,2022-05-24,ec brugge,saw,-1,17,L,39.166666666666664,25.7
3485,ESL Pro League Season 16 Conference Play-In,2022-05-24,eternal fire,lausanne se,8,-1,W,59.0,26.5
3486,ESL Challenger League Season 41 North America,2022-05-24,pain,brazen,14,-1,W,69.66666666666667,22.0
3487,REPUBLEAGUE Season 3 Closed Qualifier,2022-05-23,apeks,hellslayers,20,-1,L,39.166666666666664,25.7
3488,Elisa Invitational Spring 2022,2022-05-23,ecstatic,masonic,18,-1,W,63.833333333333336,23.4
3489,ESL Challenger Valencia 2022 North America Open Qualifier 2,2022-05-23,imperial,teamone,19,-1,L,70.66666666666667,24.0
3490,ESL Challenger Valencia 2022 North America Open Qualifier 2,2022-05-23,northern forces,imperial,-1,19,L,70.66666666666667,24.0
3491,PGL Major Antwerp 2022,2022-05-22,faze,natus vincere,1,2,W,55.714285714285715,26.6
3492,PGL Major Antwerp 2022,2022-05-21,ence,natus vincere,12,2,L,50.5,25.6
3493,PGL Major Antwerp 2022,2022-05-21,faze,spirit,1,3,W,55.714285714285715,26.6
3494,PGL Major Antwerp 2022,2022-05-20,natus vincere,heroic,2,11,W,67.66666666666667,23.4
3495,PGL Major Antwerp 2022,2022-05-20,ence,copenhagen flames,12,-1,W,50.5,25.6
3496,PGL Major Antwerp 2022,2022-05-19,spirit,furia,3,15,W,74.16666666666667,21.3
3497,PGL Major Antwerp 2022,2022-05-19,ninjas in pyjamas,faze,-1,1,L,66.83333333333333,0
3498,ESL Challenger League Season 41 North America,2022-05-19,gaimin gladiators,pain,-1,14,W,66.83333333333333,0
3499, ESL Challenger League Season 41 Europe,2022-05-18,ago,falcons,-1,10,L,66.83333333333333,0
3500,ESL Challenger League Season 41 North America,2022-05-18,atk,pain,-1,14,L,66.83333333333333,0
3501, ESL Challenger League Season 41 Europe,2022-05-17,saw,ago,17,-1,L,70.0,26.1
3502,PGL Major Antwerp 2022,2022-05-17,copenhagen flames,imperial,-1,19,W,70.0,26.1
3503, ESL Challenger League Season 41 Europe,2022-05-17,copenhagen flames,falcons,-1,10,L,70.0,26.1
3504,PGL Major Antwerp 2022,2022-05-17,g2,furia,5,15,L,52.0,26.0
3505,PGL Major Antwerp 2022,2022-05-17,heroic,vitality,11,4,W,58.166666666666664,24.2
3506,PGL Major Antwerp 2022,2022-05-17,cloud9,imperial,7,19,L,54.333333333333336,25.4
3507,PGL Major Antwerp 2022,2022-05-16,ence,heroic,12,11,W,50.5,25.6
3508,PGL Major Antwerp 2022,2022-05-16,g2,outsiders,5,-1,W,52.0,26.0
3509,PGL Major Antwerp 2022,2022-05-16,ninjas in pyjamas,furia,-1,15,W,66.83333333333333,0
3510,PGL Major Antwerp 2022,2022-05-16,big,vitality,-1,4,L,43.0,24.7
3511,PGL Major Antwerp 2022,2022-05-16,copenhagen flames,faze,-1,1,L,43.0,24.7
3512,PGL Major Antwerp 2022,2022-05-15,natus vincere,ninjas in pyjamas,2,-1,W,67.66666666666667,23.4
3513,PGL Major Antwerp 2022,2022-05-15,bad news eagles,imperial,-1,19,L,67.66666666666667,23.4
3514,PGL Major Antwerp 2022,2022-05-15,spirit,copenhagen flames,3,-1,W,74.16666666666667,21.3
3515,PGL Major Antwerp 2022,2022-05-15,vitality,liquid,4,-1,W,59.0,24.9
3516,PGL Major Antwerp 2022,2022-05-15,cloud9,faze,7,1,L,54.333333333333336,25.4
3517,PGL Major Antwerp 2022,2022-05-15,big,furia,-1,15,L,43.0,24.7
3518,PGL Major Antwerp 2022,2022-05-15,heroic,g2,11,5,W,58.166666666666664,24.2
3519,PGL Major Antwerp 2022,2022-05-15,ence,outsiders,12,-1,W,50.5,25.6
3520,PGL Major Antwerp 2022,2022-05-14,cloud9,ninjas in pyjamas,7,-1,L,54.333333333333336,25.4
3521,PGL Major Antwerp 2022,2022-05-14,g2,imperial,5,19,W,52.0,26.0
3522,PGL Major Antwerp 2022,2022-05-14,big,natus vincere,-1,2,L,43.0,24.7
3523,PGL Major Antwerp 2022,2022-05-14,furia,liquid,15,-1,W,60.166666666666664,27.1
3524,PGL Major Antwerp 2022,2022-05-14,copenhagen flames,ence,-1,12,W,60.166666666666664,27.1
3525,PGL Major Antwerp 2022,2022-05-14,faze,bad news eagles,1,-1,W,55.714285714285715,26.6
3526,PGL Major Antwerp 2022,2022-05-14,heroic,spirit,11,3,L,58.166666666666664,24.2
3527,PGL Major Antwerp 2022,2022-05-14,vitality,outsiders,4,-1,L,59.0,24.9
3528,PGL Major Antwerp 2022,2022-05-14,natus vincere,g2,2,5,W,67.66666666666667,23.4
3529,PGL Major Antwerp 2022,2022-05-14,big,imperial,-1,19,W,43.0,24.7
3530,PGL Major Antwerp 2022,2022-05-14,furia,spirit,15,3,L,60.166666666666664,27.1
3531,PGL Major Antwerp 2022,2022-05-14,faze,ence,1,12,L,55.714285714285715,26.6
3532,PGL Major Antwerp 2022,2022-05-14,cloud9,outsiders,7,-1,W,54.333333333333336,25.4
3533,PGL Major Antwerp 2022,2022-05-14,ninjas in pyjamas,vitality,-1,4,W,66.83333333333333,0
3534,PGL Major Antwerp 2022,2022-05-14,heroic,liquid,11,-1,W,58.166666666666664,24.2
3535,PGL Major Antwerp 2022 Challengers Stage,2022-05-12,forze,imperial,-1,19,L,1,0
3536,PGL Major Antwerp 2022 Challengers Stage,2022-05-12,bad news eagles,mibr,-1,27,W,1,0
3537,PGL Major Antwerp 2022 Challengers Stage,2022-05-12,astralis,liquid,25,-1,L,60.333333333333336,22.6
3538, ESL Challenger League Season 41 Europe,2022-05-11,sinners,ecstatic,-1,18,W,53.5,25.6
3539,PGL Major Antwerp 2022 Challengers Stage,2022-05-11,mibr,eternal fire,27,8,W,64.66666666666667,23.5
3540,PGL Major Antwerp 2022 Challengers Stage,2022-05-11,ence,bad news eagles,12,-1,W,50.5,25.6
3541,PGL Major Antwerp 2022 Challengers Stage,2022-05-11,complexity,liquid,13,-1,L,41.0,24.6
3542,PGL Major Antwerp 2022 Challengers Stage,2022-05-11,imperial,ihc,19,-1,W,70.66666666666667,24.0
3543,PGL Major Antwerp 2022 Challengers Stage,2022-05-11,astralis,spirit,25,3,L,60.333333333333336,22.6
3544, ESL Challenger League Season 41 Europe,2022-05-10,ecstatic,finest,18,-1,W,63.833333333333336,23.4
3545,PGL Major Antwerp 2022 Challengers Stage,2022-05-10,ence,g2,12,5,L,50.5,25.6
3546,PGL Major Antwerp 2022 Challengers Stage,2022-05-10,vitality,forze,4,-1,W,59.0,24.9
3547,PGL Major Antwerp 2022 Challengers Stage,2022-05-10,astralis,mibr,25,27,W,60.333333333333336,22.6
3548,PGL Major Antwerp 2022 Challengers Stage,2022-05-10,complexity,outsiders,13,-1,L,41.0,24.6
3549,PGL Major Antwerp 2022 Challengers Stage,2022-05-10,spirit,eternal fire,3,8,W,74.16666666666667,21.3
3550,PGL Major Antwerp 2022 Challengers Stage,2022-05-10,bad news eagles,imperial,-1,19,W,74.16666666666667,21.3
3551,PGL Major Antwerp 2022 Challengers Stage,2022-05-09,mibr,9z,27,-1,W,64.66666666666667,23.5
3552,PGL Major Antwerp 2022 Challengers Stage,2022-05-09,astralis,vitality,25,4,L,60.333333333333336,22.6
3553,PGL Major Antwerp 2022 Challengers Stage,2022-05-09,ence,outsiders,12,-1,W,50.5,25.6
3554,PGL Major Antwerp 2022 Challengers Stage,2022-05-09,imperial,liquid,19,-1,W,70.66666666666667,24.0
3555,PGL Major Antwerp 2022 Challengers Stage,2022-05-09,complexity,ihc,13,-1,W,41.0,24.6
3556,PGL Major Antwerp 2022 Challengers Stage,2022-05-09,g2,spirit,5,3,W,52.0,26.0
3557,PGL Major Antwerp 2022 Challengers Stage,2022-05-09,eternal fire,renegades,8,-1,W,59.0,26.5
3558,PGL Major Antwerp 2022 Challengers Stage,2022-05-09,ence,9z,12,-1,W,50.5,25.6
3559,PGL Major Antwerp 2022 Challengers Stage,2022-05-09,mibr,outsiders,27,-1,L,64.66666666666667,23.5
3560,PGL Major Antwerp 2022 Challengers Stage,2022-05-09,imperial,spirit,19,3,L,70.66666666666667,24.0
3561,PGL Major Antwerp 2022 Challengers Stage,2022-05-09,astralis,ihc,25,-1,W,60.333333333333336,22.6
3562,PGL Major Antwerp 2022 Challengers Stage,2022-05-09,g2,liquid,5,-1,W,52.0,26.0
3563,PGL Major Antwerp 2022 Challengers Stage,2022-05-09,bad news eagles,eternal fire,-1,8,W,52.0,26.0
3564,PGL Major Antwerp 2022 Challengers Stage,2022-05-09,vitality,complexity,4,13,W,59.0,24.9
3565,ESL Turkey Championship Winter 2022,2022-05-08,smoad,eternal fire,-1,8,L,59.0,24.9
3566,ESL Pro League Season 16 Conference Iberia Qualifier,2022-05-08,saw,offset,17,-1,W,70.0,26.1
3567,ESEA Spring 2022 Cash Cup 4 Europe,2022-05-08,gamerlegion,inde irae,21,-1,L,33.57142857142857,22.9
3568,ESL Turkey Championship Winter 2022,2022-05-07,eternal fire,esc,8,-1,W,59.0,26.5
3569,Pinnacle Cup IV,2022-05-06,ecstatic,masonic,18,-1,W,63.833333333333336,23.4
3570,Pinnacle Cup IV,2022-05-05,apeks,finest,20,-1,W,39.166666666666664,25.7
3571, ESL Challenger League Season 41 Europe,2022-05-04,sinners,ecstatic,-1,18,W,53.5,25.6
3572,IEM Dallas 2022 Europe Closed Qualifier,2022-05-04,mouz,big,6,-1,W,57.5,20.5
3573,IEM Dallas 2022 Europe Closed Qualifier,2022-05-04,entropiq,big,-1,-1,W,57.5,20.5
3574,Pinnacle Cup IV,2022-05-04,eclot,ecstatic,-1,18,L,53.0,24.1
3575,IEM Dallas 2022 Europe Closed Qualifier,2022-05-04,mouz,copenhagen flames,6,-1,W,57.5,20.5
3576,ESL Challenger League Season 41 North America,2022-05-04,pain,godsent,14,-1,W,69.66666666666667,22.0
3577,Pinnacle Cup IV,2022-05-03,spirit,finest,3,-1,W,74.16666666666667,21.3
3578,IEM Dallas 2022 Europe Closed Qualifier,2022-05-03,copenhagen flames,apeks,-1,20,W,74.16666666666667,21.3
3579,IEM Dallas 2022 Europe Closed Qualifier,2022-05-03,ec kyiv,mouz,-1,6,L,74.16666666666667,21.3
3580,IEM Dallas 2022 Europe Closed Qualifier,2022-05-03,big,mouz,-1,6,W,43.0,24.7
3581,IEM Dallas 2022 Europe Closed Qualifier,2022-05-03,apeks,movistar riders,20,-1,W,39.166666666666664,25.7
3582,Pinnacle Cup IV,2022-05-03,apeks,gamerlegion,20,21,L,39.166666666666664,25.7
3583,Pinnacle Cup IV,2022-05-02,wisla krakow,ecstatic,-1,18,W,39.166666666666664,25.7
3584,IEM Dallas 2022 Europe Closed Qualifier,2022-05-02,movistar riders,mouz,-1,6,L,57.833333333333336,25.7
3585,IEM Dallas 2022 Europe Closed Qualifier,2022-05-02,apeks,big,20,-1,L,39.166666666666664,25.7
3586,BLAST Premier Spring Showdown 2022 North America,2022-05-02,furia,pain,15,14,L,60.166666666666664,27.1
3587,BLAST Premier Spring Showdown 2022 Europe,2022-05-01,ence,astralis,12,25,W,50.5,25.6
3588,Pinnacle Cup IV,2022-05-01,spirit,k23,3,-1,W,74.16666666666667,21.3
3589,Pinnacle Cup IV,2022-05-01,gamerlegion,sinners,21,-1,W,33.57142857142857,22.9
3590,Pinnacle Cup IV,2022-05-01,apeks,masonic,20,-1,W,39.166666666666664,25.7
3591,BLAST Premier Spring Showdown 2022 North America,2022-05-01,mibr,pain,27,14,L,64.66666666666667,23.5
3592,Pinnacle Cup IV,2022-04-30,skade,ecstatic,-1,18,L,64.66666666666667,23.5
3593,BLAST Premier Spring Showdown 2022 North America,2022-04-30,furia,godsent,15,-1,W,60.166666666666664,27.1
3594,BLAST Premier Spring Showdown 2022 Europe,2022-04-30,astralis,ninjas in pyjamas,25,-1,W,60.333333333333336,22.6
3595,BLAST Premier Spring Showdown 2022 North America,2022-04-30,liquid,pain,-1,14,L,66.16666666666667,25.2
3596,BLAST Premier Spring Showdown 2022 North America,2022-04-29,complexity,mibr,13,27,L,41.0,24.6
3597,Pinnacle Cup IV,2022-04-29,gamerlegion,bad news bears,21,-1,W,33.57142857142857,22.9
3598,ESL National Championship France Spring 2022,2022-04-29,falcons,heet,10,-1,W,44.166666666666664,28.4
3599,BLAST Premier Spring Showdown 2022 Europe,2022-04-29,ence,heroic,12,11,W,50.5,25.6
3600,BLAST Premier Spring Showdown 2022 North America,2022-04-29,furia,atk,15,-1,W,60.166666666666664,27.1
3601,Pinnacle Cup IV,2022-04-28,spirit,bluejays,3,-1,W,74.16666666666667,21.3
3602,ESL National Championship France Spring 2022,2022-04-28,falcons,ldlc,10,-1,W,44.166666666666664,28.4
3603,BLAST Premier Spring Showdown 2022 Europe,2022-04-28,astralis,movistar riders,25,-1,W,60.333333333333336,22.6
3604,Pinnacle Cup IV,2022-04-28,apeks,4glory,20,-1,W,39.166666666666664,25.7
3605,Pinnacle Cup IV,2022-04-28,ecstatic,finest,18,-1,L,63.833333333333336,23.4
3606,ESL Challenger League Season 41 North America,2022-04-28,unjustified,pain,-1,14,L,63.833333333333336,23.4
3607,BLAST Premier Spring Showdown 2022 Europe,2022-04-27,heroic,nkt,11,-1,W,58.166666666666664,24.2
3608, ESL Challenger League Season 41 Europe,2022-04-27,movistar riders,wisla krakow,-1,-1,W,57.833333333333336,25.7
3609,BLAST Premier Spring Showdown 2022 Europe,2022-04-27,ence,copenhagen flames,12,-1,W,50.5,25.6
3610,MistGames Heroes of Tomorrow Spring 2022,2022-04-27,bitfix,metizport,-1,29,W,50.5,25.6
3611, ESL Challenger League Season 41 Europe,2022-04-26,movistar riders,sangal,-1,-1,W,57.833333333333336,25.7
3612,MistGames Heroes of Tomorrow Spring 2022,2022-04-26,astralis talent,metizport,-1,29,W,42.42857142857143,20.0
3613,Pinnacle Cup IV,2022-04-25,falcons,eclot,10,-1,L,44.166666666666664,28.4
3614,IEM Dallas 2022 North America Closed Qualifier,2022-04-25,complexity,godsent,13,-1,W,41.0,24.6
3615,IEM Dallas 2022 South America Closed Qualifier,2022-04-25,mibr,imperial,27,19,L,64.66666666666667,23.5
3616,IEM Dallas 2022 North America Closed Qualifier,2022-04-24,liquid,complexity,-1,13,W,66.16666666666667,25.2
3617,IEM Dallas 2022 South America Closed Qualifier,2022-04-24,9z,imperial,-1,19,L,61.5,22.6
3618,PGL Major Antwerp 2022 Europe RMR B,2022-04-24,astralis,heet,25,-1,W,60.333333333333336,22.6
3619,PGL Major Antwerp 2022 Europe RMR B,2022-04-24,ninjas in pyjamas,ence,-1,12,W,66.83333333333333,0
3620,Gamebox Festival 2022,2022-04-24,ecstatic,masonic,18,-1,L,63.833333333333336,23.4
3621,PGL Major Antwerp 2022 Europe RMR B,2022-04-24,anonymo,spirit,-1,3,L,63.833333333333336,23.4
3622,IEM Dallas 2022 South America Closed Qualifier,2022-04-24,9z,mibr,-1,27,L,61.5,22.6
3623,IEM Dallas 2022 South America Closed Qualifier,2022-04-24,imperial,cruzeiro,19,-1,W,70.66666666666667,24.0
3624,IEM Dallas 2022 North America Closed Qualifier,2022-04-24,godsent,complexity,-1,13,L,70.66666666666667,24.0
3625,IEM Dallas 2022 South America Closed Qualifier,2022-04-23,mibr,cruzeiro,27,-1,W,64.66666666666667,23.5
3626,IEM Dallas 2022 South America Closed Qualifier,2022-04-23,9z,imperial,-1,19,W,61.5,22.6
3627,ESL Masters Spain Season 11 Finals,2022-04-23,ftw,saw,-1,17,W,61.5,22.6
3628,Gamebox Festival 2022,2022-04-23,ecstatic,los reyes,18,-1,W,63.833333333333336,23.4
3629,PGL Major Antwerp 2022 Europe RMR B,2022-04-23,astralis,g2,25,5,L,60.333333333333336,22.6
3630,Gamebox Festival 2022,2022-04-23,ecstatic,astralis talent,18,-1,L,63.833333333333336,23.4
3631,PGL Major Antwerp 2022 Europe RMR B,2022-04-23,spirit,endpoint,3,-1,W,74.16666666666667,21.3
3632,Gamebox Festival 2022,2022-04-23,ecstatic,agf,18,-1,W,63.833333333333336,23.4
3633,PGL Major Antwerp 2022 Europe RMR B,2022-04-23,anonymo,ence,-1,12,L,63.833333333333336,23.4
3634,IEM Dallas 2022 North America Closed Qualifier,2022-04-23,carpe diem,complexity,-1,13,L,32.42857142857143,21.9
3635,PGL Major Antwerp 2022 Europe RMR B,2022-04-22,players,astralis,-1,25,W,32.42857142857143,21.9
3636,PGL Major Antwerp 2022 Europe RMR B,2022-04-22,sinners,spirit,-1,3,W,53.5,25.6
3637,PGL Major Antwerp 2022 Europe RMR B,2022-04-22,ence,heet,12,-1,W,50.5,25.6
3638,PGL Major Antwerp 2022 Europe RMR B,2022-04-22,bad news eagles,g2,-1,5,L,50.5,25.6
3639,PGL Major Antwerp 2022 Europe RMR B,2022-04-21,astralis,ence,25,12,W,60.333333333333336,22.6
3640,PGL Major Antwerp 2022 Europe RMR B,2022-04-21,spirit,asg,3,-1,W,74.16666666666667,21.3
3641,PGL Major Antwerp 2022 Europe RMR B,2022-04-21,g2,sangal,5,-1,W,52.0,26.0
3642,PGL Major Antwerp 2022 Europe RMR B,2022-04-21,spirit,ence,3,12,L,74.16666666666667,21.3
3643,PGL Major Antwerp 2022 Europe RMR B,2022-04-21,astralis,asg,25,-1,W,60.333333333333336,22.6
3644,PGL Major Antwerp 2022 Europe RMR B,2022-04-21,g2,anonymo,5,-1,L,52.0,26.0
3645,IEM Dallas 2022 North America Open Qualifier 2,2022-04-21,pain,gaimin gladiators,14,-1,L,69.66666666666667,22.0
3646,IEM Dallas 2022 North America Open Qualifier 2,2022-04-21,pain,unjustified,14,-1,W,69.66666666666667,22.0
3647,PGL Major Antwerp 2022 Europe RMR A,2022-04-20,saw,outsiders,17,-1,L,70.0,26.1
3648,PGL Major Antwerp 2022 Europe RMR A,2022-04-20,forze,natus vincere,-1,2,L,1,0
3649,PGL Major Antwerp 2022 Europe RMR A,2022-04-20,vitality,mouz,4,6,W,59.0,24.9
3650,PGL Major Antwerp 2022 Europe RMR A,2022-04-20,og,eternal fire,-1,8,L,52.333333333333336,22.0
3651,IEM Dallas 2022 North America Open Qualifier 2,2022-04-20,pain,onet4p,14,-1,W,69.66666666666667,22.0
3652,PGL Major Antwerp 2022 Europe RMR A,2022-04-19,faze,mouz,1,6,W,55.714285714285715,26.6
3653,PGL Major Antwerp 2022 Europe RMR A,2022-04-19,fnatic,eternal fire,-1,8,L,51.714285714285715,24.6
3654,PGL Major Antwerp 2022 Europe RMR A,2022-04-19,natus vincere,vitality,2,4,W,67.66666666666667,23.4
3655,PGL Major Antwerp 2022 Europe RMR A,2022-04-19,saw,forze,17,-1,L,70.0,26.1
3656,PGL Major Antwerp 2022 Europe RMR A,2022-04-18,faze,big,1,-1,L,55.714285714285715,26.6
3657,PGL Major Antwerp 2022 Europe RMR A,2022-04-18,gamerlegion,dignitas,21,-1,L,33.57142857142857,22.9
3658,PGL Major Antwerp 2022 Europe RMR A,2022-04-18,heroic,natus vincere,11,2,W,58.166666666666664,24.2
3659,PGL Major Antwerp 2022 Europe RMR A,2022-04-18,fnatic,saw,-1,17,L,51.714285714285715,24.6
3660,PGL Major Antwerp 2022 Europe RMR A,2022-04-18,outsiders,mouz,-1,6,L,51.714285714285715,24.6
3661,PGL Major Antwerp 2022 Europe RMR A,2022-04-18,vitality,eternal fire,4,8,W,59.0,24.9
3662,PGL Major Antwerp 2022 Europe RMR A,2022-04-17,saw,unique,17,-1,W,70.0,26.1
3663,PGL Major Antwerp 2022 Europe RMR A,2022-04-17,mouz,quazar,6,-1,W,57.5,20.5
3664,PGL Major Antwerp 2022 Europe RMR A,2022-04-17,outsiders,big,-1,-1,L,57.5,20.5
3665,PGL Major Antwerp 2022 Europe RMR A,2022-04-17,gamerlegion,forze,21,-1,L,33.57142857142857,22.9
3666,PGL Major Antwerp 2022 Europe RMR A,2022-04-17,natus vincere,og,2,-1,W,67.66666666666667,23.4
3667,PGL Major Antwerp 2022 Europe RMR A,2022-04-17,eternal fire,dignitas,8,-1,W,59.0,26.5
3668,PGL Major Antwerp 2022 Europe RMR A,2022-04-17,heroic,fnatic,11,-1,W,58.166666666666664,24.2
3669,PGL Major Antwerp 2022 Europe RMR A,2022-04-17,vitality,faze,4,1,L,59.0,24.9
3670,PGL Major Antwerp 2022 Europe RMR A,2022-04-17,mouz,og,6,-1,L,57.5,20.5
3671,PGL Major Antwerp 2022 Europe RMR A,2022-04-17,big,saw,-1,17,W,43.0,24.7
3672,PGL Major Antwerp 2022 Europe RMR A,2022-04-17,vitality,dignitas,4,-1,W,59.0,24.9
3673,PGL Major Antwerp 2022 Europe RMR A,2022-04-17,gamerlegion,fnatic,21,-1,L,33.57142857142857,22.9
3674,PGL Major Antwerp 2022 Europe RMR A,2022-04-17,faze,eternal fire,1,8,W,55.714285714285715,26.6
3675,PGL Major Antwerp 2022 Europe RMR A,2022-04-17,heroic,forze,11,-1,W,58.166666666666664,24.2
3676,PGL Major Antwerp 2022 Europe RMR A,2022-04-17,natus vincere,quazar,2,-1,W,67.66666666666667,23.4
3677,PGL Major Antwerp 2022 Americas RMR,2022-04-15,pain,9z,14,-1,L,69.66666666666667,22.0
3678,IEM Dallas 2022 Europe Open Qualifier 2,2022-04-14,copenhagen flames,apeks,-1,20,W,69.66666666666667,22.0
3679,IEM Dallas 2022 Europe Open Qualifier 2,2022-04-14,endpoint,big,-1,-1,L,44.142857142857146,0
3680,ESL Masters Spain Season 11,2022-04-14,saw,offset,17,-1,W,70.0,26.1
3681,IEM Dallas 2022 Europe Open Qualifier 2,2022-04-14,eternal fire,apeks,8,20,L,59.0,26.5
3682,IEM Dallas 2022 Europe Open Qualifier 2,2022-04-14,bluejays,big,-1,-1,L,59.0,26.5
3683,PGL Major Antwerp 2022 Americas RMR,2022-04-14,pain,case,14,-1,W,69.66666666666667,22.0
3684,PGL Major Antwerp 2022 Americas RMR,2022-04-14,mibr,furia,27,15,L,64.66666666666667,23.5
3685,IEM Dallas 2022 Europe Open Qualifier 2,2022-04-14,big,tricked,-1,-1,W,43.0,24.7
3686,IEM Dallas 2022 Europe Open Qualifier 2,2022-04-13,endpoint,ecstatic,-1,18,W,44.142857142857146,0
3687,IEM Dallas 2022 Europe Open Qualifier 2,2022-04-13,apeks,4glory,20,-1,W,39.166666666666664,25.7
3688,IEM Dallas 2022 Europe Open Qualifier 2,2022-04-13,eternal fire,skade,8,-1,W,59.0,26.5
3689,PGL Major Antwerp 2022 Americas RMR,2022-04-13,pain,teamone,14,-1,W,69.66666666666667,22.0
3690,PGL Major Antwerp 2022 Americas RMR,2022-04-13,complexity,são caetano,13,-1,W,41.0,24.6
3691,PGL Major Antwerp 2022 Americas RMR,2022-04-13,imperial,party astronauts,19,-1,W,70.66666666666667,24.0
3692,IEM Dallas 2022 Europe Open Qualifier 1,2022-04-12,mouz,ftw,6,-1,W,57.5,20.5
3693,IEM Dallas 2022 Europe Open Qualifier 1,2022-04-12,mouz,inde irae,6,-1,W,57.5,20.5
3694,IEM Dallas 2022 Europe Open Qualifier 1,2022-04-12,mouz,sprout,6,-1,W,57.5,20.5
3695,PGL Major Antwerp 2022 Americas RMR,2022-04-12,furia,complexity,15,13,W,60.166666666666664,27.1
3696,IEM Dallas 2022 Europe Open Qualifier 1,2022-04-12,eternal fire,copenhagen flames,8,-1,L,59.0,26.5
3697,PGL Major Antwerp 2022 Americas RMR,2022-04-12,imperial,mibr,19,27,L,70.66666666666667,24.0
3698,PGL Major Antwerp 2022 Americas RMR,2022-04-12,pain,liquid,14,-1,L,69.66666666666667,22.0
3699,PGL Major Antwerp 2022 Americas RMR,2022-04-11,mibr,pain,27,14,W,64.66666666666667,23.5
3700,PGL Major Antwerp 2022 Americas RMR,2022-04-11,complexity,00nation,13,-1,W,41.0,24.6
3701,PGL Major Antwerp 2022 Americas RMR,2022-04-11,case,imperial,-1,19,L,50.5,22.5
3702,PGL Major Antwerp 2022 Americas RMR,2022-04-11,furia,isurus,15,-1,W,60.166666666666664,27.1
3703,PGL Major Antwerp 2022 Americas RMR,2022-04-11,mibr,9z,27,-1,W,64.66666666666667,23.5
3704,PGL Major Antwerp 2022 Americas RMR,2022-04-11,complexity,teamone,13,-1,W,41.0,24.6
3705,PGL Major Antwerp 2022 Americas RMR,2022-04-11,evil geniuses,pain,-1,14,L,41.0,24.6
3706,PGL Major Antwerp 2022 Americas RMR,2022-04-11,imperial,são caetano,19,-1,W,70.66666666666667,24.0
3707,PGL Major Antwerp 2022 Americas RMR,2022-04-11,furia,leviatan,15,-1,W,60.166666666666664,27.1
3708,ESL Pro League Season 15,2022-04-10,ence,faze,12,1,L,50.5,25.6
3709,ESL Pro League Season 15,2022-04-09,furia,faze,15,1,L,60.166666666666664,27.1
3710,ESL Pro League Season 15,2022-04-09,ence,ninjas in pyjamas,12,-1,W,50.5,25.6
3711,Komplett Norway Cup 2022,2022-04-09,metizport,foxed,29,-1,L,51.857142857142854,20.7
3712,ESL Pro League Season 15,2022-04-08,natus vincere,faze,2,1,L,67.66666666666667,23.4
3713,ESL Pro League Season 15,2022-04-08,furia,astralis,15,25,W,60.166666666666664,27.1
3714,ESL Pro League Season 15,2022-04-07,movistar riders,ence,-1,12,L,57.833333333333336,25.7
3715,ESL Pro League Season 15,2022-04-06,heroic,liquid,11,-1,L,58.166666666666664,24.2
3716,Ace North American Masters Spring 2022 - BLAST Premier Qualifier,2022-04-06,atk,pain,-1,14,L,58.166666666666664,24.2
3717,ESL Pro League Season 15,2022-04-06,entropiq,astralis,-1,25,L,58.166666666666664,24.2
3718,Ace North American Masters Spring 2022 - BLAST Premier Qualifier,2022-04-06,pain,teamone,14,-1,W,69.66666666666667,22.0
3719,ESL Pro League Season 15,2022-04-05,faze,players,1,-1,W,55.714285714285715,26.6
3720,ESL Pro League Season 15,2022-04-05,fnatic,ence,-1,12,L,51.714285714285715,24.6
3721,Ace North American Masters Spring 2022 - BLAST Premier Qualifier,2022-04-04,pain,gaimin gladiators,14,-1,W,69.66666666666667,22.0
