index,event,date,team,opponent,team-rank,opponent-ranking,result,team_map_wr,team_average_age
1310,PARI Dunav Party 2023,2023-08-25,eternal fire,forze,8,-1,L,59.0,26.5
1311,CCT North Europe Series 7,2023-08-25,9z,9 pandas,-1,23,L,61.5,22.6
1312,PARI Dunav Party 2023,2023-08-25,1win,spirit,-1,3,L,61.5,22.6
1313,Pinnacle Cup V,2023-08-25,furia,monte,15,22,W,60.166666666666664,27.1
1314,IEM Sydney 2023 Europe Closed Qualifier,2023-08-25,betboom,9ine,30,-1,W,53.0,22.0
1315,PARI Dunav Party 2023,2023-08-25,spirit,forze,3,-1,W,74.16666666666667,21.3
1316,IEM Sydney 2023 Asia Closed Qualifier,2023-08-25,5yclone,themongolz,-1,16,W,74.16666666666667,21.3
1317,PARI Dunav Party 2023,2023-08-25,1win,eternal fire,-1,8,W,74.16666666666667,21.3
1318,CCT North Europe Series 7,2023-08-25,saw,betboom,17,30,W,70.0,26.1
1319,IEM Sydney 2023 North America Closed Qualifier,2023-08-25,nouns,complexity,-1,13,L,63.0,24.2
1320,IEM Sydney 2023 North America Closed Qualifier,2023-08-25,complexity,forsaken,13,-1,L,41.0,24.6
1321,PARI Dunav Party 2023,2023-08-25,9 pandas,cybershoke,23,-1,W,51.857142857142854,26.0
1322,IEM Sydney 2023 Europe Closed Qualifier,2023-08-24,apeks,9ine,20,-1,W,39.166666666666664,25.7
1323,IEM Sydney 2023 Europe Closed Qualifier,2023-08-24,betboom,ninjas in pyjamas,30,-1,W,53.0,22.0
1324,Pinnacle Cup V,2023-08-24,furia,espionage,15,-1,W,60.166666666666664,27.1
1325,PARI Dunav Party 2023,2023-08-24,aurora,virtus.pro,28,9,L,68.5,22.4
1326,CCT North Europe Series 7,2023-08-24,monte,space,22,-1,W,43.5,21.3
1327,Pinnacle Cup V,2023-08-24,astralis,og,25,-1,W,60.333333333333336,22.6
1328,IEM Sydney 2023 Asia Closed Qualifier,2023-08-24,themongolz,atox,16,-1,W,71.33333333333333,19.6
1329,CCT North Europe Series 7,2023-08-24,big,endpoint,-1,-1,W,43.0,24.7
1330,IEM Sydney 2023 Europe Closed Qualifier,2023-08-24,betboom,victory zigzag,30,-1,W,53.0,22.0
1331,PARI Dunav Party 2023,2023-08-24,virtus.pro,cybershoke,9,-1,W,65.5,24.3
1332,PARI Dunav Party 2023,2023-08-24,aurora,9 pandas,28,23,W,68.5,22.4
1333,IEM Sydney 2023 Asia Closed Qualifier,2023-08-24,themongolz,lynn vision,16,-1,L,71.33333333333333,19.6
1334,IEM Sydney 2023 Europe Closed Qualifier,2023-08-23,betboom,apeks,30,20,L,53.0,22.0
1335,Pinnacle Cup V,2023-08-23,monte,eternal fire,22,8,W,43.5,21.3
1336,IEM Sydney 2023 Europe Closed Qualifier,2023-08-23,apeks,knasigt,20,-1,W,39.166666666666664,25.7
1337,IEM Sydney 2023 Europe Closed Qualifier,2023-08-23,betboom,og,30,-1,W,53.0,22.0
1338,Pinnacle Cup V,2023-08-22,ecstatic,00nation,18,-1,L,63.833333333333336,23.4
